tconst,ordering,nconst,category,job,characters
tt0025316,3,nm0175369,actor,\N,"[""Alexander Andrews""]"
tt0025316,4,nm0439850,actor,\N,"[""Oscar Shapeley""]"
tt0025316,5,nm0001008,director,\N,\N
tt0025316,6,nm0728307,writer,screen play,\N
tt0025316,7,nm0011343,writer,based on the short story by,\N
tt0025316,8,nm0907900,cinematographer,\N,\N
tt0025316,9,nm0369879,editor,film editor,\N
tt0027977,10,nm0305087,actor,\N,"[""President of the Electro Steel Corp.""]"
tt0027977,1,nm0000122,actor,\N,"[""A Factory Worker""]"
tt0027977,2,nm0002104,actress,\N,"[""A Gamin""]"
tt0027977,3,nm0074788,actor,\N,"[""Cafe Proprietor""]"
tt0027977,4,nm0761866,actor,\N,"[""Big Bill""]"
tt0027977,5,nm0005806,cinematographer,\N,\N
tt0027977,6,nm0005906,cinematographer,\N,\N
tt0027977,7,nm0174682,actor,\N,"[""Mechanic""]"
tt0027977,8,nm0003424,actor,\N,"[""Burglar""]"
tt0027977,9,nm0090008,actor,\N,"[""Gamin's Father""]"
tt0028950,10,nm0509073,editor,\N,\N
tt0028950,1,nm0300064,actor,\N,"[""Le lieutenant Maréchal""]"
tt0028950,2,nm0663077,actress,\N,"[""Elsa""]"
tt0028950,3,nm0294382,actor,\N,"[""Le captaine de Boeldieu""]"
tt0028950,4,nm0002233,actor,\N,"[""Le captaine von Rauffenstein""]"
tt0028950,5,nm0719756,director,\N,\N
tt0028950,6,nm0816458,writer,scenario and dialogue,\N
tt0028950,7,nm0006158,composer,\N,\N
tt0028950,8,nm0559300,cinematographer,\N,\N
tt0028950,9,nm0401123,editor,film editor,\N
tt0031381,10,nm0308177,writer,contributing writer,\N
tt0031381,1,nm0000022,actor,\N,"[""Rhett Butler - Visitor from Charleston""]"
tt0031381,2,nm0000046,actress,\N,"[""Scarlett O'Hara - Their Daughter""]"
tt0031381,3,nm0593775,actor,\N,"[""Gerald O'Hara""]"
tt0031381,4,nm0641966,actress,\N,"[""Ellen O'Hara - Gerald's Wife""]"
tt0031381,5,nm0281808,director,\N,\N
tt0031381,6,nm0002030,director,\N,\N
tt0031381,7,nm0939992,director,\N,\N
tt0031381,8,nm0593565,writer,"story of the Old South ""Gone with the Wind""",\N
tt0031381,9,nm0397608,writer,screen play by,\N
tt0031679,10,nm0907900,cinematographer,director of photography,\N
tt0031679,1,nm0000071,actor,\N,"[""Jefferson Smith""]"
tt0031679,2,nm0000795,actress,\N,"[""Saunders""]"
tt0031679,3,nm0001647,actor,\N,"[""Senator Joseph Paine""]"
tt0031679,4,nm0036427,actor,\N,"[""Jim Taylor""]"
tt0031679,5,nm0001008,director,\N,\N
tt0031679,6,nm0118227,writer,screenplay,\N
tt0031679,7,nm0287931,writer,story,\N
tt0031679,8,nm0175333,writer,contributor to screenplay construction and dialogue,\N
tt0031679,9,nm0006323,composer,\N,\N
tt0032138,10,nm0000875,writer,from the book by,\N
tt0032138,1,nm0000023,actress,\N,"[""Dorothy Gale""]"
tt0032138,2,nm0604656,actor,\N,"[""Professor Marvel"",""The Gatekeeper"",""The Carriage Driver""]"
tt0032138,3,nm0001961,actor,\N,"[""'Hunk'"",""The Scarecrow""]"
tt0032138,4,nm0481618,actor,\N,"[""'Zeke'"",""The Cowardly Lion""]"
tt0032138,5,nm0281808,director,\N,\N
tt0032138,6,nm0896542,director,director: Kansas scenes,\N
tt0032138,7,nm0486538,writer,screenplay,\N
tt0032138,8,nm0753249,writer,screenplay,\N
tt0032138,9,nm0941138,writer,screenplay,\N
tt0032551,10,nm0801184,editor,film editor,\N
tt0032551,1,nm0000020,actor,\N,"[""Tom Joad""]"
tt0032551,2,nm0002034,actress,\N,"[""Ma Joad""]"
tt0032551,3,nm0001017,actor,\N,"[""Casy""]"
tt0032551,4,nm0335788,actor,\N,"[""Grandpa""]"
tt0032551,5,nm0000406,director,\N,\N
tt0032551,6,nm0425913,writer,screen play,\N
tt0032551,7,nm0825705,writer,based on the novel by,\N
tt0032551,8,nm0953123,producer,producer,\N
tt0032551,9,nm0005904,cinematographer,director of photography,\N
tt0032553,10,nm0354916,actress,\N,"[""Madame Napaloni""]"
